PROCESS	UNDERGOER	ENABLER	TRIGGER	THEME	RESULT	MEDIUM	SOURCE	TARGET	LOCATION	DIRECTION
life cycle	species	reproduction			succeeding each other					
loosening	something		make		less tight or firm					
magnetism	object | magnets	force | magnetic fields	attracts | magnetism | physical phenomena							
make food	plants	chlorophyll	make		food					
measuring		comparison with a standard	determining | ascertain	ratio of a physical quantity, such as a length, time, temperature						
meiosis	germ cell		division		sex cells					
melting	substance | solid	heating	changing | phase transition		liquid					
migrate	animal | bird | fish		move				one region or habitat	another		
mimicry	organism	resemblance			concealment or protection from predators					
mitosis	cell		division		genetically identical daughter cells					
molting	snake		molts		shed its skin					
negative tropism	plant or plant part		move							away from the stimulus
nitrogen cycle	nitrogen		exchanged							
osmosis	water		movement			semipermeable membrane	low solute concentration	high solute concentation		
perspiration	sweat glands of the skin | skin of mammals		secreting | production | excreted | perspiration		salty fluid | fluid consisting primarily of water as well as various dissolved solids (chiefly chlorides) | cool down their bodies					
photosynthesis	green plants, algae, diatoms, and certain forms of bacteria	energy captured from sunlight by chlorophyll | carbon dioxide and water	make | Photosynthesis		food | carbohydrates | oxygen | remove carbon dioxide gas from the environment and the release oxygen in its place					
phototropism	fixed organism	light	growth or movement | tropism | orienting response							toward or away from light
plant	(a seed, bulb, or plant		place		grow					
pollination	plant pollen		transferred		seeds		male reproductive organs	female reproductive organs		
positive tropism	plant		move							towards the stimulus
precipitation	water vapour | water		condensation | falls		falls under gravity		sky	earth		
predicting		observation, experience, or scientific reason	declare or indicate in advance							
processed		special treatment | series of actions, motions, or operations	change							
radiation	energy		transmission | emission			space | material medium				
rain	water drops	gravity | condensed from atmospheric vapor	rain | fall							
refraction	light | wave		goes | bounce		bends at an angle	object				
regeneration	organism		reproduction							
reproduce	animal	some process of generation or propagation, sexual or asexual	generate | reproduction		offspring | survival of a species					
respiration	living organisms | oxygen from the surroundings | cells and tissues of animals and plants | carbohydrates and fats		external respiration | chemical breakdown of complex organic substances | internal respiration		energy is released and carbon dioxide produced					
revolve	object		move						around a point | around another object | around a center of mass	
rotate	planet | moon		turns | spins						on its axis	
separated	two or more people or things		separated		pieces or fragments					
shedding		peeling or shedding or coming off			loss of bits of outer skin					
shine		reflection | source of light	shine		light					
snow	water vapor		snow | frozen precipitation | congealed		ice crystals | falls to the earth					
soil formation		rocks	come		soil					
splitting	something		split | separate | break		parts					
strip farming			growing	crops	serve as barriers against erosion					
succession	ecological community	disturbance or initial colonization of new habitat	predictable changes							
survive					remain alive or in existence					
swim		limbs, fins, tail	move							
talk		mouth | teeth, lips, and tongue	speech							
terracing	piece of sloped plane | fields | hillside or sloping lawn		cut | terraced | form		a series of successively receding flat surfaces or platforms | decrease erosion and surface runoff | terraces | prevent the formation of rills, improves soil fertility through reduced erosion, and helps water conservation					
the rock cycle	Earth's rocks	weathering and large earth movements | sedimentary, igneous, and metamorphic processes	continually changing | broken down and transformed		recycled					
transpiration	plants	evaporation | stomata on leaves or the pores of the skin	water cycle | giving off | transpiring	vapor containing water and waste products	loss of water					
transportation	people or things	system or vehicles	move				one place	another		
weathering	rocks		broken down		sediments, clays, soils, and  substances that are dissolved in water					
windbreaking		one or more rows of trees or shrubs	windbreak		provide shelter from the wind and to protect soil from erosion					
work	body	force	moves | displacement							
write		pen	form		letters, words, or symbols					
