	QUESTION	Q_UNDERGOER	Q_ENABLER	Q_TRIGGER	Q_RESULT	Q_UNDERSPECIFIED	ANSWER_CHOICE	ANSWER_SENTENCE	A_UNDERGOER	A_ENABLER	A_TRIGGER	A_RESULT	A_UNDERSPECIFIED	UNDERGOER_SCORE	ENABLER_SCORE	TRIGGER_SCORE	RESULT_SCORE	UNDERSPECIFIED_SCORE	CORRECT_ANSWER	PREDICTED_ANSWER	PREDICTION
50	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	Melting of ice is a physical change, not a chemical change.	ice	None	physical change | melting		None	0.0		1.0	0.0		weathering	melting	False
51	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	the process whereby heat changes something from a solid to a liquid	solid	heat	changes	liquid	None	0.0		1.0	0.0		weathering	melting	False
52	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	Melting is a physical process that results in the phase transition of a substance from a solid to a liquid.	substance	None	physical process | phase transition	liquid	None	1.0		0.27423822714699997	0.0		weathering	melting	False
53	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	When a solid reaches the temperature of its melting point, it can become a liquid.	solid	reaches the temperature of its melting point	become	liquid	None	0.0		0.9767545675689999	0.0		weathering	melting	False
54	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	The thermal energy of the water increases as it melts, changing from a solid (ice) to liquid water.	solid -LRB- ice -RRB-	thermal energy	melts	liquid water	None	0.0		0.25	0.0		weathering	melting	False
55	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	The process by which water vapor changes to liquid water is called A. melting.	water vapor	None	melting	liquid water	None	0.0		0.25	0.0		weathering	melting	False
56	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	The melting point of water is the temperature at which it changes from solid ice into liquid water.	solid ice	None	changes	liquid water	None	0.0		1.0	0.0		weathering	melting	False
57	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	Ice melting into water is a physical change.	Ice	None	melting | physical change	water	None	0.0		1.0	0.0		weathering	melting	False
58	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	weathering	Solar energy warms the Earth, causes wind and weather, and sustains plant and animal life.	Earth	Solar energy	weather | wind		None	0.317349380824		0.0625	0.0		weathering	melting	False
59	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	weathering	Water, ice, acids, salt, plants, animals, and changes in temperature are all agents of weathering.		Water ice acids salt plants animals temperature	weathering		None	0.0		0.0625	0.0		weathering	melting	False
60	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	weathering	On the surface of the Earth, water is important in both chemical and physical weathering processes.		water	physical weathering processes		surface of the earth[location]	0.0		0.0625	0.0		weathering	melting	False
61	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	weathering	Chemical weathering involves reactions between air and water and minerals in rocks.	rocks	reactions between air and water minerals	chemical weathering		None	1.0		0.0625	0.0		weathering	melting	False
62	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	weathering	The gradual wearing away or eroding of rocks at the earth's surface.	rocks	None	wearing away or eroding		at the earth's surface	1.0		0.5	0.0		weathering	melting	False
63	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	Condensation is defined as the phase change from gas (vapor) to liquid.	gas	None	phase change	liquid	None	0.0		0.0780603526581	0.0		evaporation	evaporation	True
64	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	condensation is the process in which water vapor in the air is changed into liquid water.	water vapor	None	condensation	liquid water	in the air	1.0		0.0	0.0		evaporation	evaporation	True
65	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	Water vapour condenses to liquid water.	Water vapour	None	condenses	liquid water	None	1.0		0.0	0.0		evaporation	evaporation	True
66	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	Water drops on the outside of a cold glass of water are condensed water.	water	None	condensed	Water drops	cold glass of water	1.0		0.0	0.0		evaporation	evaporation	True
67	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	The water in a cloud comes from water vapor in the air that has condensed.	water vapor	None	condensed	water	None	1.0		0.0	0.0		evaporation	evaporation	True
68	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	The condensed water molecules form liquid water droplets.	water molecules	None	condensed | form	liquid water	None	1.0		0.0	0.0		evaporation	evaporation	True
69	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	Condensation is defined as the phase change from gas (vapor) to liquid.	gas	None	phase change	liquid	None	0.0		0.0780603526581	0.0		evaporation	evaporation	True
70	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	condensation is the process in which water vapor in the air is changed into liquid water.	water vapor	None	condensation	liquid water	in the air	1.0		0.0	0.0		evaporation	evaporation	True
71	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	Water vapour condenses to liquid water.	Water vapour	None	condenses	liquid water	None	1.0		0.0	0.0		evaporation	evaporation	True
72	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	Water drops on the outside of a cold glass of water are condensed water.	water	None	condensed	Water drops	cold glass of water	1.0		0.0	0.0		evaporation	evaporation	True
73	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	The water in a cloud comes from water vapor in the air that has condensed.	water vapor	None	condensed	water	None	1.0		0.0	0.0		evaporation	evaporation	True
74	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	condensation	The condensed water molecules form liquid water droplets.	water molecules	None	condensed | form	liquid water	None	1.0		0.0	0.0		evaporation	evaporation	True
75	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	precipitation Water falling to the Earth.	Water	None	precipitation | falling		the earth [destination]	1.0		0.0	0.0		evaporation	evaporation	True
76	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	The plant will then use the stored water in times or seasons of low precipitation.		None	precipitation		None	0.0		0.0	0.0		evaporation	evaporation	True
77	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	precipitation Water that falls to the Earth from the sky.	Water	None	falls		sky [source] earth[destination]	1.0		0.0	0.0		evaporation	evaporation	True
78	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	Rain is a form of precipitation in which water falls back to earth as a liquid.	water	None	precipitation | falls back		None	1.0		0.0	0.0		evaporation	evaporation	True
79	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	Also when the air cannot hold any more water, it precipitates.	water	None	precipitates		None	1.0		0.0	0.0		evaporation	evaporation	True
80	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	Precipitation is the term used to describe water (moisture) that falls from the sky.	water	None	falls | precipitation		sky	1.0		0.0	0.0		evaporation	evaporation	True
81	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	Different forms of precipitation include: Rain is liquid water falling from the sky.	water	None	falling		sky	1.0		0.0	0.0		evaporation	evaporation	True
82	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.	water vapour	None	falling		atmosphere	1.0		0.0	0.0		evaporation	evaporation	True
83	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.	water vapour	gravity	falls | precipitation		None	1.0		0.0	0.0		evaporation	evaporation	True
84	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	precipitation	The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation	liquid solid water	None	fall | precipitation	reach the ground	clouds	1.0		0.0	0.0		evaporation	evaporation	True
85	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Clouds get their water from evaporation.	water	None	evaporation	Clouds	None	1.0		0.0	0.0		evaporation	evaporation	True
86	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.	oils	None	evaporate 		None	0.0		0.0	0.0		evaporation	evaporation	True
87	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	evaporation - the process of extracting moisture	moisture	None	evaporation | extracting		None	0.0		0.0	0.0		evaporation	evaporation	True
88	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Evaporation and condensation are two processes through which matter changes from one state to another.	matter	None	evaporation | changes	one state to another	None	0.14415625268100002		0.05848630579419999	0.24733288903200001		evaporation	evaporation	True
89	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Evaporation involves changing water from its liquid state to a gaseous state (vapor)	water liquid state	None	evaporation | changing	gaseous state vapor	None	1.0		0.05848630579419999	1.0		evaporation	evaporation	True
90	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.	liquid	None	evaporation | vaporization	gaseous phase	surface of a liquid	0.135162572564		0.0	0.0		evaporation	evaporation	True
91	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.	substance liquid state	increase in temperature and/or pressure	process | changing | evaporation	gaseous state	None	0.0535275541935		0.043411746393599994	0.275614345857		evaporation	evaporation	True
92	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	In evaporation, matter changes from a liquid to a gas.	matter liquid	None	evaporation | changes	gas	None	0.0752859199769		0.05848630579419999	0.825826069637		evaporation	evaporation	True
93	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Liquid water changing to water vapor is evaporation.	Liquid water	None	changing | evaporation	water vapor	None	1.0		0.05848630579419999	1.0		evaporation	evaporation	True
94	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Surface water is evaporated from the earth by the energy of the sun.	Surface water	energy of the sun	evaporated		from the earth	1.0		0.0	0.0		evaporation	evaporation	True
95	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	The change of a liquid into a vapor at a temperature below the boiling point.	liquid	temperature below the boiling point	change	vapor	None	0.135162572564		0.173333333333	1.0		evaporation	evaporation	True
96	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	The change of state from water to water vapor is called evaporation.	water	None	change of state | evaporation	water vapor	None	1.0		0.037422783888199994	1.0		evaporation	evaporation	True
97	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).	liquid	heat	changing	gas	None	0.135162572564		0.173333333333	0.825826069637		evaporation	evaporation	True
98	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.	liquid water	energy from the sun	change | evaporate	water vapor	None	1.0		0.0563171307151	1.0		evaporation	evaporation	True
99	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	The process of liquid water changing into water vapor is called evaporation.	liquid water	None	process | evaporation | changing	water vapor	None	1.0		0.043411746393599994	1.0		evaporation	evaporation	True
100	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	The water evaporated back into water vapor in the air.	water	None	evaporated	water vapor	in the air	1.0		0.0	1.0		evaporation	evaporation	True
101	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Water evaporates as water vapor into the air.	Water	None	evaporates	water vapor	into the air	1.0		0.0	1.0		evaporation	evaporation	True
102	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Water from the oceans enters the atmosphere through evaporation.	Water	None	evaporation		the atmosphere	1.0		0.0	0.0		evaporation	evaporation	True
103	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Clouds get their water from evaporation.	water	None	evaporation	Clouds	None	1.0		0.0	0.0		evaporation	evaporation	True
104	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.	oils	None	evaporate 		None	0.0		0.0	0.0		evaporation	evaporation	True
105	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	evaporation - the process of extracting moisture	moisture	None	evaporation | extracting		None	0.0		0.0	0.0		evaporation	evaporation	True
106	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Evaporation and condensation are two processes through which matter changes from one state to another.	matter	None	evaporation | changes	one state to another	None	0.14415625268100002		0.05848630579419999	0.24733288903200001		evaporation	evaporation	True
107	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Evaporation involves changing water from its liquid state to a gaseous state (vapor)	water liquid state	None	evaporation | changing	gaseous state vapor	None	1.0		0.05848630579419999	1.0		evaporation	evaporation	True
108	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.	liquid	None	evaporation | vaporization	gaseous phase	surface of a liquid	0.135162572564		0.0	0.0		evaporation	evaporation	True
109	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.	substance liquid state	increase in temperature and/or pressure	process | changing | evaporation	gaseous state	None	0.0535275541935		0.043411746393599994	0.275614345857		evaporation	evaporation	True
110	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	In evaporation, matter changes from a liquid to a gas.	matter liquid	None	evaporation | changes	gas	None	0.0752859199769		0.05848630579419999	0.825826069637		evaporation	evaporation	True
111	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water	None	heated	vapor	None	evaporation	Liquid water changing to water vapor is evaporation.	Liquid water	None	changing | evaporation	water vapor	None	1.0		0.05848630579419999	1.0		evaporation	evaporation	True
