QUESTION	Q_UNDERGOER	Q_ENABLER	Q_TRIGGER	Q_RESULT	Q_UNDERSPECIFIED	ANSWER_CHOICE	ANSWER_SENTENCE	A_UNDERGOER	A_ENABLER	A_TRIGGER	A_RESULT	A_UNDERSPECIFIED	UNDERGOER_SCORE	ENABLER_SCORE	TRIGGER_SCORE	RESULT_SCORE	UNDERSPECIFIED_SCORE	CORRECT_ANSWER
How does your body acquire the oxygen the cells in your body need to function? 						osmosis	Plant roots uptake water from the surrounding soil through osmosis.			osmosis	water	from the surrounding soil	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						osmosis	Roots absorb water from the surrounding soil using the process of osmosis.	Roots	water	absorb		from the surrounding soil	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						osmosis	Water is taken into the plant through roots by osmosis and is carried through the stems to the leaves.			osmosis	Water|plant|roots	through roots	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						osmosis	Water enters plant cells from the environment via osmosis.	Water|cells		osmosis	plant		nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						osmosis	Any water gained by osmosis may help keep a plant cell rigid or turgid.	plant		osmosis	water|help|cell		nan	nan	nan	nan	nan	breathing
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	run-off	When the snow melts into water it also leads to runoff.	snow|water		melts			nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	run-off	One potential source of contamination of water is runoff, the overland flow of water.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	run-off	Surface runoff is a major component of the water cycle.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	run-off	The water cycle has four stages: storage, evaporation,precipitation, and run-off.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	run-off	Water flowing on the Earth's surface is referred to as runoff.					earth's surface	nan	nan	nan	nan	7.52643794283e-06	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	run-off	something that drains or flows off, as rain that flows off from the land in streams.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						run-off	When the snow melts into water it also leads to runoff.	snow|water		melts			nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						run-off	One potential source of contamination of water is runoff, the overland flow of water.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						run-off	Surface runoff is a major component of the water cycle.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						run-off	The water cycle has four stages: storage, evaporation,precipitation, and run-off.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						run-off	Water flowing on the Earth's surface is referred to as runoff.					earth's surface	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						run-off	something that drains or flows off, as rain that flows off from the land in streams.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	condensation	Condensation is defined as the phase change from gas (vapor) to liquid.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	condensation	condensation is the process in which water vapor in the air is changed into liquid water.					in the air	nan	nan	nan	nan	0.379448882301	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	condensation	Water vapour condenses to liquid water.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	condensation	Water drops on the outside of a cold glass of water are condensed water.					cold glass of water	nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	condensation	The water in a cloud comes from water vapor in the air that has condensed.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	condensation	The condensed water molecules form liquid water droplets.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						condensation	Condensation is defined as the phase change from gas (vapor) to liquid.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						condensation	condensation is the process in which water vapor in the air is changed into liquid water.					in the air	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						condensation	Water vapour condenses to liquid water.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						condensation	Water drops on the outside of a cold glass of water are condensed water.					cold glass of water	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						condensation	The water in a cloud comes from water vapor in the air that has condensed.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						condensation	The condensed water molecules form liquid water droplets.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	precipitation Water falling to the Earth.	precipitation Water		falling	Earth	the earth [destination]	nan	nan	nan	nan	0.203037895248	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	The plant will then use the stored water in times or seasons of low precipitation.	plant		stored			nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	precipitation Water that falls to the Earth from the sky.			falls		sky [source] earth[destination]	nan	nan	nan	nan	0.0820791191488	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	Rain is a form of precipitation in which water falls back to earth as a liquid.	water|liquid		falls			nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	Also when the air cannot hold any more water, it precipitates.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	Precipitation is the term used to describe water (moisture) that falls from the sky.					sky	nan	nan	nan	nan	0.0820791191488	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	Different forms of precipitation include: Rain is liquid water falling from the sky.					sky	nan	nan	nan	nan	0.0820791191488	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.	water vapour|atmosphere	condensation|atmosphere	falling|hail	falling|condensation|rain	atmosphere	nan	nan	nan	nan	1.0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.	water	condensation	falls			nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	precipitation	The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation					clouds	nan	nan	nan	nan	0.00248307515211	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	precipitation Water falling to the Earth.	precipitation Water		falling	Earth	the earth [destination]	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	The plant will then use the stored water in times or seasons of low precipitation.	plant		stored			nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	precipitation Water that falls to the Earth from the sky.			falls		sky [source] earth[destination]	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	Rain is a form of precipitation in which water falls back to earth as a liquid.	water|liquid		falls			nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	Also when the air cannot hold any more water, it precipitates.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	Precipitation is the term used to describe water (moisture) that falls from the sky.					sky	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	Different forms of precipitation include: Rain is liquid water falling from the sky.					sky	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.	water vapour|atmosphere	condensation|atmosphere	falling|hail	falling|condensation|rain	atmosphere	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.	water	condensation	falls			nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						precipitation	The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation					clouds	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Clouds get their water from evaporation.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	evaporation - the process of extracting moisture						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Evaporation and condensation are two processes through which matter changes from one state to another.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Evaporation involves changing water from its liquid state to a gaseous state (vapor)	Evaporation		changing	liquid|gaseous state|vapor		nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.					surface of a liquid	nan	nan	nan	nan	4.51373254921e-06	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	In evaporation, matter changes from a liquid to a gas.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Liquid water changing to water vapor is evaporation.	water|water vapor		evaporation			nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Surface water is evaporated from the earth by the energy of the sun.					from the earth	nan	nan	nan	nan	0.255363190815	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	The change of a liquid into a vapor at a temperature below the boiling point.			change			nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	The change of state from water to water vapor is called evaporation.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).			changing|boiling	boiling		nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	The process of liquid water changing into water vapor is called evaporation.						nan	nan	nan	nan	0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	The water evaporated back into water vapor in the air.	water		evaporated	water	in the air	nan	nan	nan	nan	0.379448882301	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Water evaporates as water vapor into the air.					into the air	nan	nan	nan	nan	0.129225495118	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 					rises in the atmosphere	evaporation	Water from the oceans enters the atmosphere through evaporation.					the atmosphere	nan	nan	nan	nan	1.0	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Clouds get their water from evaporation.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	evaporation - the process of extracting moisture						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Evaporation and condensation are two processes through which matter changes from one state to another.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Evaporation involves changing water from its liquid state to a gaseous state (vapor)	Evaporation		changing	liquid|gaseous state|vapor		nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.					surface of a liquid	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	In evaporation, matter changes from a liquid to a gas.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Liquid water changing to water vapor is evaporation.	water|water vapor		evaporation			nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Surface water is evaporated from the earth by the energy of the sun.					from the earth	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	The change of a liquid into a vapor at a temperature below the boiling point.			change			nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	The change of state from water to water vapor is called evaporation.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).			changing|boiling	boiling		nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	The process of liquid water changing into water vapor is called evaporation.						nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	The water evaporated back into water vapor in the air.	water		evaporated	water	in the air	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Water evaporates as water vapor into the air.					into the air	nan	nan	nan	nan	nan	condensation
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 						evaporation	Water from the oceans enters the atmosphere through evaporation.					the atmosphere	nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						convection	The greater the movement of the air or water the greater the rate of heat removal by convection.	water		convection	movement|heat		nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						convection	Water vapor in the air rises mostly by convection.			convection	Water vapor		nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						convection	The warmed surface water is then transferred downward into the water column by conduction and convection.	warmed surface water		convection	transferred downward into the water column		nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						convection	Heat was transferred from the flame of the stove to the water by convection.	Heat		convection	transferred|water	from the flame of the stove	nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						convection	The particles move around from one place to another through the flow of thermal energy during convection.	particles	thermal	move		flow of thermal energy	nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						condensation	Condensation is defined as the phase change from gas (vapor) to liquid.						nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						condensation	condensation is the process in which water vapor in the air is changed into liquid water.					in the air	nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						condensation	Water vapour condenses to liquid water.						nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						condensation	Water drops on the outside of a cold glass of water are condensed water.					cold glass of water	nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						condensation	The water in a cloud comes from water vapor in the air that has condensed.						nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						condensation	The condensed water molecules form liquid water droplets.						nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						forecast	Changes in pressure are used to predict imminent weather changes, so barometers are useful tools for weather forecasting.						nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						forecast	Pressure is Measured Meteorologists use a number of tools to gauge weather changes and to create forecasts.						nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						forecast	Weather forecasters look at the relative change at different places, taking into account how air pressure changes with elevation.						nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						forecast	Using winds and a barometer to make forecasts.						nan	nan	nan	nan	nan	condensation
The process in which something changes from a gas state to a liquid state 						forecast	weather How Atmospheric Pressure is Measured Meteorologists use a number of tools to gauge weather changes and to create forecasts.						nan	nan	nan	nan	nan	condensation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	Clouds get their water from evaporation.						nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.						nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	evaporation - the process of extracting moisture						nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	Evaporation and condensation are two processes through which matter changes from one state to another.						nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	Evaporation involves changing water from its liquid state to a gaseous state (vapor)	Evaporation		changing	liquid|gaseous state|vapor		nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.					surface of a liquid	nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.						nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	In evaporation, matter changes from a liquid to a gas.						nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	Liquid water changing to water vapor is evaporation.	water|water vapor		evaporation			nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	Surface water is evaporated from the earth by the energy of the sun.					from the earth	nan	nan	nan	nan	nan	evaporation
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						evaporation	The change of a liquid into a vapor at a temperature below the boiling point.			change			nan	nan	nan	nan	nan	evaporation
