	QUESTION	QUESTION UNDERGOER	QUESTION ENABLER	QUESTION TRIGGER	QUESTION RESULT	QUESTION UNDERSPECIFIED	ANSWER CHOICE	ANSWER SENTENCE	ANSWER UNDERGOER	ANSWER ENABLER	ANSWER TRIGGER	ANSWER RESULT	ANSWER UNDERSPECIFIED	UNDERGOER SCORE	ENABLER SCORE	TRIGGER SCORE	RESULT SCORE	UNDERSPECIFIED SCORE	CORRECT ANSWER	PREDICTED ANSWER	PREDICTION
49	What starts the change from an igneous rock to a sedimentary rock? 						weathering	Solar energy warms the Earth, causes wind and weather, and sustains plant and animal life.											weathering	melting	False
50	What starts the change from an igneous rock to a sedimentary rock? 						weathering	Water, ice, acids, salt, plants, animals, and changes in temperature are all agents of weathering.	animals	Water	weathering								weathering	melting	False
51	What starts the change from an igneous rock to a sedimentary rock? 						weathering	On the surface of the Earth, water is important in both chemical and physical weathering processes.					surface of the earth[location]						weathering	melting	False
52	What starts the change from an igneous rock to a sedimentary rock? 						weathering	Chemical weathering involves reactions between air and water and minerals in rocks.		rocks	Chemical								weathering	melting	False
53	What starts the change from an igneous rock to a sedimentary rock? 						weathering	The gradual wearing away or eroding of rocks at the earth's surface.					at the earth's surface						weathering	melting	False
54	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						condensation	Condensation is defined as the phase change from gas (vapor) to liquid.											evaporation	condensation	False
55	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						condensation	condensation is the process in which water vapor in the air is changed into liquid water.					in the air						evaporation	condensation	False
56	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						condensation	Water vapour condenses to liquid water.											evaporation	condensation	False
57	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						condensation	Water drops on the outside of a cold glass of water are condensed water.					cold glass of water						evaporation	condensation	False
58	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						condensation	The water in a cloud comes from water vapor in the air that has condensed.											evaporation	condensation	False
59	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						condensation	The condensed water molecules form liquid water droplets.											evaporation	condensation	False
60	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	precipitation Water falling to the Earth.	precipitation Water		falling	Earth	the earth [destination]						evaporation	condensation	False
61	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	The plant will then use the stored water in times or seasons of low precipitation.	plant		stored								evaporation	condensation	False
62	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	precipitation Water that falls to the Earth from the sky.			falls		sky [source] earth[destination]						evaporation	condensation	False
63	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	Rain is a form of precipitation in which water falls back to earth as a liquid.	water|liquid		falls								evaporation	condensation	False
64	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	Also when the air cannot hold any more water, it precipitates.											evaporation	condensation	False
65	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	Precipitation is the term used to describe water (moisture) that falls from the sky.					sky						evaporation	condensation	False
66	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	Different forms of precipitation include: Rain is liquid water falling from the sky.					sky						evaporation	condensation	False
67	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.	water vapour|atmosphere	condensation|atmosphere	falling|hail	falling|condensation|rain	atmosphere						evaporation	condensation	False
68	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.	water	condensation	falls								evaporation	condensation	False
69	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						precipitation	The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation					clouds						evaporation	condensation	False
70	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Clouds get their water from evaporation.											evaporation	condensation	False
71	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.											evaporation	condensation	False
72	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	evaporation - the process of extracting moisture											evaporation	condensation	False
73	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Evaporation and condensation are two processes through which matter changes from one state to another.											evaporation	condensation	False
74	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Evaporation involves changing water from its liquid state to a gaseous state (vapor)	Evaporation		changing	liquid|gaseous state|vapor							evaporation	condensation	False
75	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.					surface of a liquid						evaporation	condensation	False
76	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.											evaporation	condensation	False
77	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	In evaporation, matter changes from a liquid to a gas.											evaporation	condensation	False
78	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Liquid water changing to water vapor is evaporation.	water|water vapor		evaporation								evaporation	condensation	False
79	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Surface water is evaporated from the earth by the energy of the sun.					from the earth						evaporation	condensation	False
80	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	The change of a liquid into a vapor at a temperature below the boiling point.			change								evaporation	condensation	False
81	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	The change of state from water to water vapor is called evaporation.											evaporation	condensation	False
82	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).			changing|boiling	boiling							evaporation	condensation	False
83	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.											evaporation	condensation	False
84	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	The process of liquid water changing into water vapor is called evaporation.											evaporation	condensation	False
85	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	The water evaporated back into water vapor in the air.	water		evaporated	water	in the air						evaporation	condensation	False
86	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Water evaporates as water vapor into the air.					into the air						evaporation	condensation	False
87	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 						evaporation	Water from the oceans enters the atmosphere through evaporation.					the atmosphere						evaporation	condensation	False
88	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						mimicry	The last method of camouflage animals might use is called mimicry.	animals		mimicry								camouflage	mimicry	False
89	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						mimicry	Animals use concealing or disruptive coloration, disguise, and mimicry to protect themselves.											camouflage	mimicry	False
90	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						mimicry	Other flowers use mimicry to attract pollinators.											camouflage	mimicry	False
91	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						mimicry	Predators may also use mimicry to lure their prey, however.											camouflage	mimicry	False
92	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						mimicry	The resemblance of one organism to another or to an object in its surroundings for concealment and protection from predators.											camouflage	mimicry	False
93	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Some animals use camouflage to hide from their enemies.	animals		camouflage	hide|their enemies							camouflage	mimicry	False
94	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Most animals of the open sea use at least one of these methods to camouflage themselves.											camouflage	mimicry	False
95	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Prey animals often use camouflage to hide from predators.	animals		camouflage	hide from predators							camouflage	mimicry	False
96	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	There are four basic ways animals camouflage themselves.											camouflage	mimicry	False
97	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	An example of animals that uses both aggressive and defensive camouflage is octopuses.	animals		camouflage	octopuses	aggressive | defensive						camouflage	mimicry	False
98	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.	Animals		change	can not be easily							camouflage	mimicry	False
99	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Camouflage is the use of any combination of materials, coloration or illumination for concealment											camouflage	mimicry	False
100	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Camouflage is an adaptation that helps many animals avoid detection by predators or prey because it allows them to blend in to their natural environments.	animals	detection|natural	adaptation	avoid|predators|blend|their|environments							camouflage	mimicry	False
101	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Structural adaptation that enables species to blend with their surroundings	species	their	adaptation	blend|surroundings							camouflage	mimicry	False
102	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	A primary defense against predators throughout the animal kingdom (and against the enemy during human warfare) is to avoid detection or recognition through camouflage			camouflage								camouflage	mimicry	False
103	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.	Animals		change	can not be easily							camouflage	mimicry	False
104	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Something, that makes an animal, person, building etc. difficult for enemies to see.											camouflage	mimicry	False
105	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Camouflage is a method of avoiding detection by mimicking the surrounding environment											camouflage	mimicry	False
106	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	The leopard's camouflage makes it blend in with the forest shadows.											camouflage	mimicry	False
107	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "						camouflage	Rabbits use their white fur as camouflage in the snow.	Rabbits		camouflage		snow						camouflage	mimicry	False
108	mowing the lawn 						physical change	A change in the physical state of a molecule, object, wave or system.			change								physical change	physical change	True
109	mowing the lawn 						physical change	A physical change involves a change in physical properties											physical change	physical change	True
110	mowing the lawn 						physical change	Physical changes occur when objects or substances undergo a change that does not change their chemical composition	objects		changes|change	change|composition							physical change	physical change	True
111	mowing the lawn 						physical change	Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.											physical change	physical change	True
112	mowing the lawn 						physical change	Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.											physical change	physical change	True
113	mowing the lawn 						chemical change	A change at the molecular, atomic or subcellular level in an organism.	organism		change	level							physical change	physical change	True
114	mowing the lawn 						chemical change	A chemical reaction is a process in which one or more substances are converted into other substances.											physical change	physical change	True
115	mowing the lawn 						chemical change	Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances											physical change	physical change	True
116	mowing the lawn 						chemical change	Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants					products						physical change	physical change	True
117	mowing the lawn 						chemical change	Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity											physical change	physical change	True
118	The path Earth makes around the sun is called the 						rotation	A traditional element of crop rotation is the replenishment of nitrogen through the use of green manure in sequence with cereals and other crops											orbit	rotation	False
119	The path Earth makes around the sun is called the 						rotation	Crop rotation is a systematic approach to deciding which crop to plant where in your vegetable garden from one year to the next.											orbit	rotation	False
120	The path Earth makes around the sun is called the 						rotation	Crop rotation is the practice of growing a series of dissimilar/different types of crops in the same area in sequential seasons.	seasons	series|types|area	Crop|growing	series|crops							orbit	rotation	False
121	The path Earth makes around the sun is called the 						rotation	In farming, 'crop rotation' is the when the same land is used to grow different crops season after season.											orbit	rotation	False
122	The path Earth makes around the sun is called the 						rotation	The practice of planting nonlegumes one year and legumes in alternating years to restore concentrations of fixed nitrogen in the soil.											orbit	rotation	False
123	The path Earth makes around the sun is called the 						rotation	The Earth rotates, or spins, on its axis once every 24 hours.											orbit	rotation	False
124	The path Earth makes around the sun is called the 						rotation	move or cause to move in a circle around an axis or center.											orbit	rotation	False
125	The path Earth makes around the sun is called the 						rotation	A rotation is a circular movement of an object around a center (or point) of rotation.			rotation								orbit	rotation	False
126	The path Earth makes around the sun is called the 						rotation	It is the rotation of the Earth that makes the sun appear to move through the sky during the day, rising in the east and setting in the west.	rotation|sun	day|setting	move		makes the sun appear to move through the sky during the day, rising in the east and setting in the west						orbit	rotation	False
127	The path Earth makes around the sun is called the 						rotation	This rotation is what results in day and night on Earth.											orbit	rotation	False
128	The path Earth makes around the sun is called the 						orbit	As the Moon orbits the Earth,the amount of its lit surface that is visible from the Earth changes.					orbits the Earth						orbit	rotation	False
129	The path Earth makes around the sun is called the 						orbit	Sometimes when the moon orbits Earth, it moves between the sun and Earth.	moon		orbits	moves|sun|Earth							orbit	rotation	False
130	The path Earth makes around the sun is called the 						orbit	In physics, an orbit is the gravitationally curved path of an object around a point in space, for example the orbit of a planet around the center of a star system, such as the Solar System											orbit	rotation	False
131	The path Earth makes around the sun is called the 						orbit	The path described by a heavenly body in its periodical revolution around another body.											orbit	rotation	False
132	The path Earth makes around the sun is called the 						orbit	To circle or revolve around another object.		object	revolve								orbit	rotation	False
133	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						transpiration	Most of the available water is used in transpiration to pull nutrients into the plant.											condensation	evaporation	False
134	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						transpiration	During transpiration, the plant loses water.											condensation	evaporation	False
135	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						transpiration	Water and its Movement Through the Plant Roughly 90% of the water that enters a plant is lost via transpiration.	Water|plant	Plant|water	transpiration								condensation	evaporation	False
136	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						transpiration	The main driving force of water uptake and transport into a plant is transpiration of water from leaves.	water|plant|water|leaves	force	transpiration								condensation	evaporation	False
137	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						transpiration	Part of the water cycle that involves the loss of water from plants due to evaporation.	water|water|plants		Part	cycle|due|evaporation							condensation	evaporation	False
138	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						condensation	Condensation is defined as the phase change from gas (vapor) to liquid.											condensation	evaporation	False
139	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						condensation	condensation is the process in which water vapor in the air is changed into liquid water.					in the air						condensation	evaporation	False
140	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						condensation	Water vapour condenses to liquid water.											condensation	evaporation	False
141	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						condensation	Water drops on the outside of a cold glass of water are condensed water.					cold glass of water						condensation	evaporation	False
142	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						condensation	The water in a cloud comes from water vapor in the air that has condensed.											condensation	evaporation	False
143	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						condensation	The condensed water molecules form liquid water droplets.											condensation	evaporation	False
144	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	precipitation Water falling to the Earth.	precipitation Water		falling	Earth	the earth [destination]						condensation	evaporation	False
145	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	The plant will then use the stored water in times or seasons of low precipitation.	plant		stored								condensation	evaporation	False
146	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	precipitation Water that falls to the Earth from the sky.			falls		sky [source] earth[destination]						condensation	evaporation	False
147	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	Rain is a form of precipitation in which water falls back to earth as a liquid.	water|liquid		falls								condensation	evaporation	False
148	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	Also when the air cannot hold any more water, it precipitates.											condensation	evaporation	False
149	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	Precipitation is the term used to describe water (moisture) that falls from the sky.					sky						condensation	evaporation	False
150	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	Different forms of precipitation include: Rain is liquid water falling from the sky.					sky						condensation	evaporation	False
151	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.	water vapour|atmosphere	condensation|atmosphere	falling|hail	falling|condensation|rain	atmosphere						condensation	evaporation	False
152	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.	water	condensation	falls								condensation	evaporation	False
153	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						precipitation	The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation					clouds						condensation	evaporation	False
154	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	Clouds get their water from evaporation.											condensation	evaporation	False
155	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.											condensation	evaporation	False
156	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	evaporation - the process of extracting moisture											condensation	evaporation	False
157	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	Evaporation and condensation are two processes through which matter changes from one state to another.											condensation	evaporation	False
158	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	Evaporation involves changing water from its liquid state to a gaseous state (vapor)	Evaporation		changing	liquid|gaseous state|vapor							condensation	evaporation	False
159	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.					surface of a liquid						condensation	evaporation	False
160	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.											condensation	evaporation	False
161	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	In evaporation, matter changes from a liquid to a gas.											condensation	evaporation	False
162	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	Liquid water changing to water vapor is evaporation.	water|water vapor		evaporation								condensation	evaporation	False
163	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	Surface water is evaporated from the earth by the energy of the sun.					from the earth						condensation	evaporation	False
164	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	The change of a liquid into a vapor at a temperature below the boiling point.			change								condensation	evaporation	False
165	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	The change of state from water to water vapor is called evaporation.											condensation	evaporation	False
166	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).			changing|boiling	boiling							condensation	evaporation	False
167	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "						evaporation	The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.											condensation	evaporation	False
