	ANSWER_CHOICE	A_DIRECTION	A_ENABLER	A_LOCATION	A_MEDIUM	A_RESULT	A_SOURCE	A_TARGET	A_THEME	A_TRIGGER	A_UNDERGOER	CORRECT_ANSWER	DIRECTION_SCORE	ENABLER_SCORE	LOCATION_SCORE	MEDIUM_SCORE	PREDICTED_ANSWER	PREDICTION	QUESTION	Q_DIRECTION	Q_ENABLER	Q_LOCATION	Q_MEDIUM	Q_RESULT	Q_SOURCE	Q_TARGET	Q_THEME	Q_TRIGGER	Q_UNDERGOER	RESULT_SCORE	SOURCE_SCORE	TARGET_SCORE	THEME_SCORE	TRIGGER_SCORE	UNDERGOER_SCORE
11	convection					rises				convection	water vapor	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.000175301132763					0.0
12	convection					transferred downward into the water column				convection	warmed surface water	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.0					0.0858466723065
13	convection					heat was transferred				convection	water	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.0					0.0
14	convection					move around from one place to another				convection	particles	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.0					0.0
15	convection		movement of the air or water			heat removal				convection		conduction		0.0			combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	
16	convection					rises				convection	water vapor	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
17	convection					transferred downward into the water column				convection	warmed surface water	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
18	convection					heat was transferred				convection	water	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
19	convection					move around from one place to another				convection	particles	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
20	combustion					heat energy				combustion | burning	chemical energy	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.0					0.0
21	combustion									combustion	plants in fossil fuel	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot						0.062114111122699996
22	combustion					energy				combustion | release emissions	fossil fuels	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.0					0.0
23	combustion					mechanical energy				burning	fuel	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.0					0.0
24	combustion					energy				combustion	fossil fuel	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.0					0.0
25	combustion					heat energy				combustion | burning	chemical energy	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
26	combustion									combustion	plants in fossil fuel	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.062114111122699996
27	combustion					energy				combustion | release emissions	fossil fuels	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
28	combustion					mechanical energy				burning	fuel	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
29	combustion					energy				combustion	fossil fuel	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
30	radiation									diverge | spread		conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot						
31	radiation									emit	energy	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot						0.0
32	radiation		space | material medium							radiation | emission | transmission		conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot						
33	radiation									process	energy	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot						0.0
34	radiation									diverge | spread		conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	
35	radiation									emit	energy	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
36	radiation		space | material medium							radiation | emission | transmission		conduction		0.0064154810213500005			combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	
37	radiation									process	energy	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
38	melting		addition of heat			liquid				melting | changing	solid	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock	0.0				1.0	0.0
39	melting									physical change | melting	ice	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock					1.0	0.0
40	melting		heat			liquid				changes	solid	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock	0.0				1.0	0.0
41	melting					liquid				physical process | phase transition	substance	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock	0.0				0.27423822714699997	1.0
42	melting		reaches the temperature of its melting point			liquid				become	solid	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock	0.0				0.9767545675689999	0.0
43	melting		thermal energy			liquid water				melts	solid (ice)	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock	0.0				0.25	0.0
44	melting					liquid water				melting	water vapor	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock	0.0				0.25	0.0
45	melting					liquid water				changes	solid ice	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock	0.0				1.0	0.0
46	melting					water				melting | physical change	Ice	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock	0.0				1.0	0.0
47	weathering		rocks			sediments | clays | soils | substances				broken down | weathering	earth	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock	0.623573098364				0.21329639889199997	0.317349380824
48	weathering		water | ice | acids | salt | plants| animals | temperature							weathering		weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock					0.0625	
49	weathering		water							physical weathering processes		weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock					0.0625	
50	weathering		reactions between air and water and minerals							chemical weathering	rocks	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock					0.0625	1.0
51	weathering									wearing away or eroding	rocks	weathering					melting	False	What starts the change from an igneous rock to a sedimentary rock? 					sedimentary rock				change	igneous rock					0.5	1.0
52	condensation					liquid				phase change	gas	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.135162572564				0.0780603526581	0.0
53	condensation					liquid water				condensation	water vapor	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.428477692545				0.0	1.0
54	condensation					liquid water				condenses	water vapour	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.428477692545				0.0	1.0
55	condensation					water drops				condensed	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.448023323615				0.0	1.0
56	condensation					water				condensed	water vapor	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.0	1.0
57	condensation					liquid water				condensed | form	water molecules	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.428477692545				0.0	1.0
58	precipitation									precipitation | falling	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
59	precipitation									precipitation		evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	
60	precipitation									falls	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
61	precipitation									precipitation | falls back	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
62	precipitation									precipitates	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
63	precipitation									falls | precipitation	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
64	precipitation									falling	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
65	precipitation									falling	water vapour	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
66	precipitation		gravity							falls | precipitation	water vapour	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
67	precipitation					reach the ground				fall | precipitation	liquid | solid water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.18319252619399998				0.0	1.0
68	evaporation					clouds				evaporation	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.0007447074251950001				0.0	1.0
69	evaporation									evaporate 	oils	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	0.0
70	evaporation									evaporation | extracting	moisture	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	0.0
71	evaporation					one state to another				evaporation | changes	matter	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.24733288903200001				0.05848630579419999	0.14415625268100002
72	evaporation					gaseous state | vapor				evaporation | changing	water | liquid state	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.38623487661				0.05848630579419999	1.0
73	evaporation					gaseous phase				evaporation | vaporization	liquid	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.0				0.0	0.135162572564
74	evaporation		increase in temperature and/or pressure			gaseous state				process | changing | evaporation	substance | liquid state	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	0.275614345857				0.05848630579419999	0.0535275541935
75	evaporation					gas				evaporation | changes	matter | liquid	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.05848630579419999	0.0752859199769
76	evaporation					water vapor				changing | evaporation	liquid water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.05848630579419999	1.0
77	evaporation		energy of the sun							evaporated	surface water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
78	evaporation		temperature below the boiling point			vapor				change	liquid	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.173333333333	0.135162572564
79	evaporation					water vapor				change of state | evaporation	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.037422783888199994	1.0
80	evaporation		heat			gas				changing	liquid	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.173333333333	0.135162572564
81	evaporation		energy from the sun			water vapor				change | evaporate	liquid water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.0563171307151	1.0
82	evaporation					water vapor				process | evaporation | changing	liquid water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.05848630579419999	1.0
83	evaporation					water vapor				evaporated	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.0	1.0
84	evaporation					water vapor				evaporates	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water	1.0				0.0	1.0
85	evaporation									evaporation	water	evaporation					evaporation	True	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 					rising into the air as a gas (like water vapor)				heated	water					0.0	1.0
86	mimicry									camouflage | mimicry	animals	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal						1.0
87	mimicry					protect themselves				mimicry	Animals	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					1.0
88	mimicry					attract pollinators				mimicry	flowers	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					0.0
89	mimicry					lure their prey				mimicry	Predators	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					0.25
90	mimicry					concealment | protection from predators				resemblance	organism	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					1.0
91	camouflage					hide from their enemies				camouflage	animals	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					1.0
92	camouflage									camouflage	animals	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal						1.0
93	camouflage					hide from predators				camouflage	animals	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					1.0
94	camouflage									camouflage	animals | octopuses	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal						1.0
95	camouflage					cannot be easily seen				change color | camouflage	animals	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.043556549508999995					1.0
96	camouflage					concealment				use of any combination of materials, coloration or illumination		camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					
97	camouflage		avoid detection by predators or prey			blend in to their natural environments				adaptation	animals	camouflage		0.19868707566100002			camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.475085181162					1.0
98	camouflage					blend with their surroundings				adaptation	species	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.818466041524					0.0
99	camouflage		primary defense against predators			avoid detection or recognition				camouflage	animal	camouflage		0.0			camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					1.0
100	camouflage					difficult for enemies to see					animal | person | building	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					1.0
101	camouflage					avoiding detection				mimicking the surrounding environment		camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.0					
102	camouflage					blend in with the forest shadows				camouflage	leopard	camouflage					camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal	0.5661529405919999					0.25
103	camouflage		white fur							camouflage |use	rabbits	camouflage		0.163365310298			camouflage	True	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "		color or pattern			blend in with its surroundings					animal						0.173611111111
104	physical change									change	molecule | object | wave | system	physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	0.237860465992
105	physical change					change in physical properties				physical change		physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	
106	physical change									physical changes	objects | substances	physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	0.468191734092
107	physical change					separate mixtures				physical changes		physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	
108	physical change									physical changes	chemical substance	physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	0.0
109	chemical change									change	organism	physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	0.0
110	chemical change					other substances				converted	one or more substances	physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	0.0
111	chemical change					new substance | two or more different substances				combines | synthesis | decomposes	substance	physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	0.0
112	chemical change									chemical reactions | chemical change		physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	
113	chemical change		heat | light | electricity							chemical reactions		physical change					physical change	True	mowing the lawn 									mowing	lawn					0.0	
114	rotation									rotates | spins	earth	orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						0.00026858949512700007	
115	rotation									move in a circle		orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						1.41259632207e-05	
116	rotation									rotation | circular movement	object	orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						0.0	
117	rotation									rotation	earth	orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						0.0	
118	rotation					day and night				rotation	earth	orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						0.0	
119	orbit					amount of its lit surface that is visible from the Earth changes				orbits	Moon	orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						0.0258306288869	
120	orbit					it moves between the sun and Earth				orbits Earth	moon	orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						0.417347381443	
121	orbit									orbit | path	planet	orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						0.42876038544100004	
122	orbit									path	body	orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						1.0	
123	orbit									circle | revolve around		orbit					orbit	True	The path Earth makes around the sun is called the 									path Earth makes around the sun						0.22204953236400002	
124	transpiration		water							transpiration	plant	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.0	0.0
125	transpiration					loses water				transpiration	plant	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.135162572564				0.0	0.0
126	transpiration					water that enters a plant is lost				transpiration | movement	plant	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.135162572564				0.28890625	0.0
127	transpiration									transpiration | uptake	plant	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.0	0.0
128	transpiration		evaporation			loss of water				water cycle	plants	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.135162572564				0.0413223140496	0.0
129	condensation					liquid				phase change	gas	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	1.0				1.0	1.0
130	condensation					liquid water				condensation	water vapor	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	1.0				0.0123456790123	0.825826069637
131	condensation					liquid water				condenses	water vapour	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	1.0				0.4	0.825826069637
132	condensation					water drops				condensed	water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.135162572564				0.4	0.0
133	condensation					water				condensed	water vapor	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.135162572564				0.4	0.825826069637
134	condensation					liquid water				condensed | form	water molecules	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	1.0				0.4	0.0
135	precipitation									precipitation | falling	water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.0277777777778	0.0
136	precipitation									precipitation		condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.0277777777778	
137	precipitation									falls	water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.016065558802000002	0.0
138	precipitation									precipitation | falls back	water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.213017751479	0.0
139	precipitation									precipitates	water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.03698224852069999	0.0
140	precipitation									falls | precipitation	water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.0277777777778	0.0
141	precipitation									falling	water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.016065558802000002	0.0
142	precipitation									falling	water vapour	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.016065558802000002	0.825826069637
143	precipitation		gravity							falls | precipitation	water vapour	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.0277777777778	0.825826069637
144	precipitation					reach the ground				fall | precipitation	liquid | solid water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.0				0.0277777777778	0.0
145	evaporation					clouds				evaporation	water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.0				0.0	0.0
146	evaporation									evaporate 	oils	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.833333333333	0.0
147	evaporation									evaporation | extracting	moisture	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas					0.000692520775623	0.0
148	evaporation					one state to another				evaporation | changes	matter	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.0281412124236				1.0	0.071525148729
149	evaporation					gaseous state | vapor				evaporation | changing	water | liquid state	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.0134343781532				1.0	0.0115524909041
150	evaporation					gaseous phase				evaporation | vaporization	liquid	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.0				0.444444444444	0.0
151	evaporation		increase in temperature and/or pressure			gaseous state				process | changing | evaporation	substance | liquid state	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.0313590395685				1.0	0.0104386438968
152	evaporation					gas				evaporation | changes	matter | liquid	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.0				1.0	0.0316854466474
153	evaporation					water vapor				changing | evaporation	liquid water	condensation					condensation	True	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "					liquid				process | changes	gas	0.135162572564				1.0	0.0
