	QUESTION	ANSWER_CHOICE	Q_UNDERGOER	A_UNDERGOER	UNDERGOER_SCORE	Q_ENABLER	A_ENABLER	ENABLER_SCORE	Q_TRIGGER	A_TRIGGER	TRIGGER_SCORE	Q_RESULT	A_RESULT	RESULT_SCORE	CORRECT_ANSWER
42	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	water vapor						cools and changes	run-off | water cycle	0.0140215809848	liquid			condensation
43	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	water vapor	water	1.0				cools and changes	flowing	0.00173123601955	liquid			condensation
44	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	water vapor						cools and changes	drains | flows off	0.339322259831	liquid			condensation
45	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	tiny drops of liquid	gas	0.0				form | process	phase change	0.00312486498082	clouds	liquid	0.0	condensation
46	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	tiny drops of liquid	water vapor	0.0402318035116				form | process	condensation	0.0	clouds	liquid water	0.0	condensation
47	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	tiny drops of liquid	water vapour	0.0402318035116				form | process	condenses	0.0	clouds	liquid water	0.0	condensation
48	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	tiny drops of liquid	water	0.0402318035116				form | process	condensed	0.0	clouds	water drops	0.0	condensation
49	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	tiny drops of liquid	water vapor	0.0402318035116				form | process	condensed	0.0	clouds	water	0.0	condensation
50	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	tiny drops of liquid	water molecules	0.0402318035116				form | process	condensed | form	1.0	clouds	liquid water	0.0	condensation
51	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	water vapor	gas	0.825826069637				cools and changes	phase change	0.450348188412	liquid	liquid	1.0	condensation
52	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	water vapor	water vapor	1.0				cools and changes	condensation	0.00418916370162	liquid	liquid water	1.0	condensation
53	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	water vapor	water vapour	1.0				cools and changes	condenses	0.135728903933	liquid	liquid water	1.0	condensation
54	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	water vapor	water	1.0				cools and changes	condensed	0.135728903933	liquid	water drops	0.135162572564	condensation
55	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	water vapor	water vapor	1.0				cools and changes	condensed	0.135728903933	liquid	water	0.135162572564	condensation
56	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	water vapor	water molecules	0.388994674835				cools and changes	condensed | form	0.135728903933	liquid	liquid water	1.0	condensation
57	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid	water	0.0402318035116				form | process	precipitation | falling	0.0	clouds			condensation
58	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid						form | process	precipitation	0.0	clouds			condensation
59	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid	water	0.0402318035116				form | process	falls	0.0	clouds			condensation
60	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid	water	0.0402318035116				form | process	precipitation | falls back	0.0	clouds			condensation
61	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid	water	0.0402318035116				form | process	precipitates	0.0	clouds			condensation
62	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid	water	0.0402318035116				form | process	falls | precipitation	0.0	clouds			condensation
63	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid	water	0.0402318035116				form | process	falling	0.0	clouds			condensation
64	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid	water vapour	0.0402318035116				form | process	falling	0.0	clouds			condensation
65	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid	water vapour	0.0402318035116		gravity		form | process	falls | precipitation	0.0	clouds			condensation
66	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	tiny drops of liquid	liquid | solid water	0.36985763224				form | process	fall | precipitation	0.0	clouds	reach the ground	0.0	condensation
67	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor	water	1.0				cools and changes	precipitation | falling	0.00942561832865	liquid			condensation
68	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor						cools and changes	precipitation	0.00942561832865	liquid			condensation
69	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor	water	1.0				cools and changes	falls	0.00545140171816	liquid			condensation
70	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor	water	1.0				cools and changes	precipitation | falls back	0.0722816648161	liquid			condensation
71	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor	water	1.0				cools and changes	precipitates	0.0125489001417	liquid			condensation
72	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor	water	1.0				cools and changes	falls | precipitation	0.00942561832865	liquid			condensation
73	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor	water	1.0				cools and changes	falling	0.00545140171816	liquid			condensation
74	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor	water vapour	1.0				cools and changes	falling	0.00545140171816	liquid			condensation
75	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor	water vapour	1.0		gravity		cools and changes	falls | precipitation	0.00942561832865	liquid			condensation
76	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	precipitation	water vapor	liquid | solid water	0.277287067828				cools and changes	fall | precipitation	0.00942561832865	liquid	reach the ground	0.0	condensation
77	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	water	0.0402318035116				form | process	evaporation	0.0	clouds	clouds	1.0	condensation
78	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	oils	0.0				form | process	evaporate 	0.0	clouds			condensation
79	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	moisture	0.246754717513				form | process	evaporation | extracting	0.0	clouds			condensation
80	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	matter	0.398891966759				form | process	evaporation | changes	0.0023412885365	clouds	one state to another	0.000510989270405	condensation
81	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	water | liquid state	0.401966278681				form | process	evaporation | changing	0.0023412885365	clouds	gaseous state | vapor	0.000243941980448	condensation
82	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	liquid	1.0				form | process	evaporation | vaporization	0.0	clouds	gaseous phase	0.0	condensation
83	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	substance | liquid state	0.363210226825		increase in temperature and/or pressure		form | process	process | changing | evaporation	0.0023412885365	clouds	gaseous state	0.000569418705509	condensation
84	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	matter | liquid	0.557002715682				form | process	evaporation | changes	0.0023412885365	clouds	gas	0.0	condensation
85	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	liquid water	0.571522307455				form | process	changing | evaporation	0.0023412885365	clouds	water vapor	0.0	condensation
86	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	surface water	0.0402318035116		energy of the sun		form | process	evaporated	0.0	clouds			condensation
87	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	liquid	1.0		temperature below the boiling point		form | process	change	0.0069387755102	clouds	vapor	0.0	condensation
88	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	water	0.0402318035116				form | process	change of state | evaporation	0.0014980863252	clouds	water vapor	0.0	condensation
89	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	liquid	1.0		heat		form | process	changing	0.0069387755102	clouds	gas	0.0	condensation
90	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	liquid water	0.571522307455		energy from the sun		form | process	change | evaporate	0.00225445342737	clouds	water vapor	0.0	condensation
91	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	liquid water	0.571522307455				form | process	process | evaporation | changing	0.0023412885365	clouds	water vapor	0.0	condensation
92	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	water	0.0402318035116				form | process	evaporated	0.0	clouds	water vapor	0.0	condensation
93	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	water	0.0402318035116				form | process	evaporates	0.0	clouds	water vapor	0.0	condensation
94	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	tiny drops of liquid	water	0.0402318035116				form | process	evaporation	0.0	clouds			condensation
95	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	water	1.0				cools and changes	evaporation	0.0	liquid	clouds	0.0	condensation
96	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	oils	0.0				cools and changes	evaporate 	0.282768549859	liquid			condensation
97	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	moisture	0.0				cools and changes	evaporation | extracting	0.000234987714565	liquid			condensation
98	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	matter	1.0				cools and changes	evaporation | changes	0.339322259831	liquid	one state to another	0.0281412124236	condensation
99	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	water | liquid state	0.560630609264				cools and changes	evaporation | changing	0.339322259831	liquid	gaseous state | vapor	0.0134343781532	condensation
100	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	liquid	0.135162572564				cools and changes	evaporation | vaporization	0.150809893258	liquid	gaseous phase	0.0	condensation
101	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	substance | liquid state	0.368719598659		increase in temperature and/or pressure		cools and changes	process | changing | evaporation	0.339322259831	liquid	gaseous state	0.0313590395685	condensation
102	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	matter | liquid	0.442997284318				cools and changes	evaporation | changes	0.339322259831	liquid	gas	0.0	condensation
103	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	liquid water	0.428477692545				cools and changes	changing | evaporation	0.339322259831	liquid	water vapor	0.135162572564	condensation
104	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	surface water	0.466768763194		energy of the sun		cools and changes	evaporated	0.282768549859	liquid			condensation
105	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	liquid	0.135162572564		temperature below the boiling point		cools and changes	change	1.0	liquid	vapor	0.0	condensation
106	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	water	1.0				cools and changes	change of state | evaporation	0.339322259831	liquid	water vapor	0.135162572564	condensation
107	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	liquid	0.135162572564		heat		cools and changes	changing	1.0	liquid	gas	0.0	condensation
108	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	liquid water	0.428477692545		energy from the sun		cools and changes	change | evaporate	0.339322259831	liquid	water vapor	0.135162572564	condensation
109	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	liquid water	0.428477692545				cools and changes	process | evaporation | changing	0.339322259831	liquid	water vapor	0.135162572564	condensation
110	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	water	1.0				cools and changes	evaporated	0.282768549859	liquid	water vapor	0.135162572564	condensation
111	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	water	1.0				cools and changes	evaporates	0.282768549859	liquid	water vapor	0.135162572564	condensation
112	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	evaporation	water vapor	water	1.0				cools and changes	evaporation	0.0	liquid			condensation
113	The process in which something changes from a gas state to a liquid state 	convection	gas state				movement of the air or water		process | changes	convection	0.0	liquid state	heat removal	0.00026540323241	condensation
114	The process in which something changes from a gas state to a liquid state 	convection	gas state	water vapor	0.450039589043				process | changes	convection	0.0	liquid state	rises	0.0	condensation
115	The process in which something changes from a gas state to a liquid state 	convection	gas state	warmed surface water	0.0				process | changes	convection	0.0	liquid state	transferred downward into the water column	0.0777664387093	condensation
116	The process in which something changes from a gas state to a liquid state 	convection	gas state	water	0.0				process | changes	convection	0.0	liquid state	heat was transferred	0.00026540323241	condensation
117	The process in which something changes from a gas state to a liquid state 	convection	gas state	particles	0.0				process | changes	convection	0.0	liquid state	move around from one place to another	0.000410733694533	condensation
118	The process in which something changes from a gas state to a liquid state 	condensation	gas state	gas	1.0				process | changes	phase change	1.0	liquid state	liquid	1.0	condensation
119	The process in which something changes from a gas state to a liquid state 	condensation	gas state	water vapor	0.450039589043				process | changes	condensation	0.0123456790123	liquid state	liquid water	0.575354828144	condensation
120	The process in which something changes from a gas state to a liquid state 	condensation	gas state	water vapour	0.450039589043				process | changes	condenses	0.4	liquid state	liquid water	0.575354828144	condensation
121	The process in which something changes from a gas state to a liquid state 	condensation	gas state	water	0.0				process | changes	condensed	0.4	liquid state	water drops	0.0777664387093	condensation
122	The process in which something changes from a gas state to a liquid state 	condensation	gas state	water vapor	0.450039589043				process | changes	condensed	0.4	liquid state	water	0.0777664387093	condensation
123	The process in which something changes from a gas state to a liquid state 	condensation	gas state	water molecules	0.0				process | changes	condensed | form	0.4	liquid state	liquid water	0.575354828144	condensation
124	The process in which something changes from a gas state to a liquid state 	forecast	gas state	weather	0.322419993358		Changes in pressure		process | changes	forecasting | predict	0.0	liquid state			condensation
125	The process in which something changes from a gas state to a liquid state 	forecast	gas state						process | changes	forecasts	0.0	liquid state			condensation
126	The process in which something changes from a gas state to a liquid state 	forecast	gas state	Weather	0.322419993358				process | changes	forecasters	0.0	liquid state			condensation
127	The process in which something changes from a gas state to a liquid state 	forecast	gas state				winds | barometer		process | changes	forecasts	0.0	liquid state			condensation
128	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	water	1.0				process | becomes	evaporation	0.0	gas | water vapor	clouds	0.0	evaporation
129	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	oils	0.0				process | becomes	evaporate 	0.0	gas | water vapor			evaporation
130	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	moisture	0.473789681613				process | becomes	evaporation | extracting	0.0	gas | water vapor			evaporation
131	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	matter	0.398891966759				process | becomes	evaporation | changes	0.329577498027	gas | water vapor	one state to another	0.247332889032	evaporation
132	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	water | liquid state	1.0				process | becomes	evaporation | changing	0.329577498027	gas | water vapor	gaseous state | vapor	0.410185458854	evaporation
133	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	liquid	1.0				process | becomes	evaporation | vaporization	0.0	gas | water vapor	gaseous phase	0.0	evaporation
134	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	substance | liquid state	0.571522307455		increase in temperature and/or pressure		process | becomes	process | changing | evaporation	0.329577498027	gas | water vapor	gaseous state	0.275614345857	evaporation
135	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	matter | liquid	0.571522307455				process | becomes	evaporation | changes	0.329577498027	gas | water vapor	gas	1.0	evaporation
136	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	liquid water	1.0				process | becomes	changing | evaporation	0.329577498027	gas | water vapor	water vapor	1.0	evaporation
137	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	surface water	0.466768763194		energy of the sun		process | becomes	evaporated	0.0	gas | water vapor			evaporation
138	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	liquid	1.0		temperature below the boiling point		process | becomes	change	0.976754567569	gas | water vapor	vapor	1.0	evaporation
139	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	water	1.0				process | becomes	change of state | evaporation	0.210881971696	gas | water vapor	water vapor	1.0	evaporation
140	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	liquid	1.0		heat		process | becomes	changing	0.976754567569	gas | water vapor	gas	1.0	evaporation
141	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	liquid water	1.0		energy from the sun		process | becomes	change | evaporate	0.317353930722	gas | water vapor	water vapor	1.0	evaporation
142	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	liquid water	1.0				process | becomes	process | evaporation | changing	0.329577498027	gas | water vapor	water vapor	1.0	evaporation
143	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	water	1.0				process | becomes	evaporated	0.0	gas | water vapor	water vapor	1.0	evaporation
144	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	water	1.0				process | becomes	evaporates	0.0	gas | water vapor	water vapor	1.0	evaporation
145	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	evaporation	liquid water	water	1.0				process | becomes	evaporation	0.0	gas | water vapor			evaporation
146	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	condensation	liquid water	gas	0.0				process | becomes	phase change	0.439879650028	gas | water vapor	liquid	0.135162572564	evaporation
147	"Liquid water becomes a gas called water vapor through the process of <span class=""blank""> </span> "	condensation	liquid water	water vapor	0.428477692545				process | becomes	condensation	0.0	gas | water vapor	liquid water	0.428477692545	evaporation
